JSP_ID,skID1,skID2,skDesc1,skDesc2,skJCnt1,skJCnt2,UnionJcnt,TotJCnt,support1,support2,confidence,lift
1,2,3,algorithms,analysis,43,104,28,165,0.26,0.63,65,103
3,2,4,algorithms,analytic,43,119,28,165,0.26,0.72,65,90
4,4,2,analytic,algorithms,119,43,28,165,0.72,0.26,24,90
5,2,11,algorithms,aws,43,47,8,165,0.26,0.28,19,65
6,11,2,aws,algorithms,47,43,8,165,0.28,0.26,17,65
7,2,21,algorithms,cloud,43,57,13,165,0.26,0.35,30,88
8,21,2,cloud,algorithms,57,43,13,165,0.35,0.26,23,88
9,2,41,algorithms,excel,43,75,16,165,0.26,0.45,37,82
11,2,46,algorithms,google cloud,43,7,2,165,0.26,0.04,5,110
12,46,2,google cloud,algorithms,7,43,2,165,0.04,0.26,29,110
13,2,59,algorithms,machine learning,43,81,31,165,0.26,0.49,72,147
14,59,2,machine learning,algorithms,81,43,31,165,0.49,0.26,38,147
15,2,79,algorithms,python,43,118,33,165,0.26,0.72,77,107
16,79,2,python,algorithms,118,43,33,165,0.72,0.26,28,107
17,2,94,algorithms,sql,43,112,22,165,0.26,0.68,51,75
18,94,2,sql,algorithms,112,43,22,165,0.68,0.26,20,75
19,2,96,algorithms,statistics,43,67,26,165,0.26,0.41,60,149
20,96,2,statistics,algorithms,67,43,26,165,0.41,0.26,39,149
21,2,101,algorithms,version control,43,5,1,165,0.26,0.03,2,77
22,101,2,version control,algorithms,5,43,1,165,0.03,0.26,20,77
24,4,3,analytic,analysis,119,104,46,165,0.72,0.63,39,61
26,21,3,cloud,analysis,57,104,21,165,0.35,0.63,37,58
30,29,3,data engineering,analysis,33,104,10,165,0.2,0.63,30,48
32,32,3,data science,analysis,76,104,20,165,0.46,0.63,26,42
36,59,3,machine learning,analysis,81,104,25,165,0.49,0.63,31,49
38,64,3,ml,analysis,44,104,16,165,0.27,0.63,36,58
40,72,3,pipeline ,analysis,11,104,3,165,0.07,0.63,27,43
42,79,3,python,analysis,118,104,43,165,0.72,0.63,36,58
44,92,3,spark,analysis,40,104,13,165,0.24,0.63,32,52
46,94,3,sql,analysis,112,104,44,165,0.68,0.63,39,62
47,2,32,algorithms,data science,43,76,26,165,0.26,0.46,60,131
48,32,2,data science,algorithms,76,43,26,165,0.46,0.26,34,131
49,2,56,algorithms,leadership,43,26,8,165,0.26,0.16,19,118
51,2,62,algorithms,math,43,56,24,165,0.26,0.34,56,164
52,62,2,math,algorithms,56,43,24,165,0.34,0.26,43,164
53,2,64,algorithms,ml,43,44,7,165,0.26,0.27,16,61
54,64,2,ml,algorithms,44,43,7,165,0.27,0.26,16,61
55,2,65,algorithms,modeling,43,64,21,165,0.26,0.39,49,126
56,65,2,modeling,algorithms,64,43,21,165,0.39,0.26,33,126
57,2,75,algorithms,predictive,43,43,19,165,0.26,0.26,44,170
58,75,2,predictive,algorithms,43,43,19,165,0.26,0.26,44,170
59,2,92,algorithms,spark,43,40,10,165,0.26,0.24,23,96
60,92,2,spark,algorithms,40,43,10,165,0.24,0.26,25,96
61,2,97,algorithms,structured and unstructured data,43,5,1,165,0.26,0.03,2,77
62,97,2,structured and unstructured data,algorithms,5,43,1,165,0.03,0.26,20,77
64,11,3,aws,analysis,47,104,9,165,0.28,0.63,19,30
68,38,3,databricks,analysis,11,104,4,165,0.07,0.63,36,58
72,62,3,math,analysis,56,104,21,165,0.34,0.63,37,59
74,63,3,matlab,analysis,9,104,3,165,0.05,0.63,33,53
76,65,3,modeling,analysis,64,104,21,165,0.39,0.63,33,52
78,71,3,pandas,analysis,11,104,3,165,0.07,0.63,27,43
80,75,3,predictive,analysis,43,104,15,165,0.26,0.63,35,55
82,83,3,regression,analysis,15,104,8,165,0.09,0.63,53,85
84,87,3,scikit-learn,analysis,11,104,5,165,0.07,0.63,45,72
86,96,3,statistics,analysis,67,104,23,165,0.41,0.63,34,54
87,4,13,analytic,big data,119,36,5,165,0.72,0.22,4,19
88,13,4,big data,analytic,36,119,5,165,0.22,0.72,14,19
89,4,24,analytic,communication,119,89,13,165,0.72,0.54,11,20
91,4,29,analytic,data engineering,119,33,4,165,0.72,0.2,3,17
92,29,4,data engineering,analytic,33,119,4,165,0.2,0.72,12,17
93,4,32,analytic,data science,119,76,10,165,0.72,0.46,8,18
94,32,4,data science,analytic,76,119,10,165,0.46,0.72,13,18
95,4,44,analytic,git,119,46,6,165,0.72,0.28,5,18
96,44,4,git,analytic,46,119,6,165,0.28,0.72,13,18
97,4,45,analytic,github,119,5,1,165,0.72,0.03,1,28
98,45,4,github,analytic,5,119,1,165,0.03,0.72,20,28
99,4,50,analytic,insights,119,70,8,165,0.72,0.42,7,16
101,4,51,analytic,java,119,22,1,165,0.72,0.13,1,6
102,51,4,java,analytic,22,119,1,165,0.13,0.72,5,6
103,4,52,analytic,julia,119,6,1,165,0.72,0.04,1,23
104,52,4,julia,analytic,6,119,1,165,0.04,0.72,17,23
105,4,59,analytic,machine learning,119,81,7,165,0.72,0.49,6,12
106,59,4,machine learning,analytic,81,119,7,165,0.49,0.72,9,12
107,4,62,analytic,math,119,56,2,165,0.72,0.34,2,5
108,62,4,math,analytic,56,119,2,165,0.34,0.72,4,5
109,4,63,analytic,matlab,119,9,2,165,0.72,0.05,2,31
110,63,4,matlab,analytic,9,119,2,165,0.05,0.72,22,31
111,4,75,analytic,predictive,119,43,4,165,0.72,0.26,3,13
112,75,4,predictive,analytic,43,119,4,165,0.26,0.72,9,13
113,4,79,analytic,python,119,118,12,165,0.72,0.72,10,14
114,79,4,python,analytic,118,119,12,165,0.72,0.72,10,14
115,4,81,analytic,r,119,27,4,165,0.72,0.16,3,21
116,81,4,r,analytic,27,119,4,165,0.16,0.72,15,21
117,4,96,analytic,statistics,119,67,5,165,0.72,0.41,4,10
118,96,4,statistics,analytic,67,119,5,165,0.41,0.72,7,10
119,2,13,algorithms,big data,43,36,12,165,0.26,0.22,28,128
120,13,2,big data,algorithms,36,43,12,165,0.22,0.26,33,128
121,2,14,algorithms,business intelligence,43,24,7,165,0.26,0.15,16,112
122,14,2,business intelligence,algorithms,24,43,7,165,0.15,0.26,29,112
123,2,20,algorithms,classification,43,12,7,165,0.26,0.07,16,224
124,20,2,classification,algorithms,12,43,7,165,0.07,0.26,58,224
125,2,22,algorithms,clustering,43,11,5,165,0.26,0.07,12,174
126,22,2,clustering,algorithms,11,43,5,165,0.07,0.26,45,174
127,2,24,algorithms,communication,43,89,22,165,0.26,0.54,51,95
129,2,30,algorithms,data mining,43,24,16,165,0.26,0.15,37,256
130,30,2,data mining,algorithms,24,43,16,165,0.15,0.26,67,256
131,2,50,algorithms,insights,43,70,22,165,0.26,0.42,51,121
133,2,63,algorithms,matlab,43,9,3,165,0.26,0.05,7,128
134,63,2,matlab,algorithms,9,43,3,165,0.05,0.26,33,128
135,2,67,algorithms,natural language processing,43,9,4,165,0.26,0.05,9,171
136,67,2,natural language processing,algorithms,9,43,4,165,0.05,0.26,44,171
137,2,81,algorithms,r,43,27,8,165,0.26,0.16,19,114
138,81,2,r,algorithms,27,43,8,165,0.16,0.26,30,114
139,2,83,algorithms,regression,43,15,4,165,0.26,0.09,9,102
140,83,2,regression,algorithms,15,43,4,165,0.09,0.26,27,102
141,2,84,algorithms,relational databases,43,10,3,165,0.26,0.06,7,115
142,84,2,relational databases,algorithms,10,43,3,165,0.06,0.26,30,115
143,2,85,algorithms,reporting ,43,40,4,165,0.26,0.24,9,38
144,85,2,reporting ,algorithms,40,43,4,165,0.24,0.26,10,38
145,2,34,algorithms,data structure,43,18,8,165,0.26,0.11,19,171
146,34,2,data structure,algorithms,18,43,8,165,0.11,0.26,44,171
148,36,3,data visualization,analysis,32,104,11,165,0.19,0.63,34,55
150,81,3,r,analysis,27,104,8,165,0.16,0.63,30,47
152,13,3,big data,analysis,36,104,7,165,0.22,0.63,19,31
154,18,3,calculus,analysis,3,104,1,165,0.02,0.63,33,53
156,22,3,clustering,analysis,11,104,3,165,0.07,0.63,27,43
158,48,3,hadoop,analysis,21,104,8,165,0.13,0.63,38,60
162,68,3,nosql,analysis,12,104,4,165,0.07,0.63,33,53
164,76,3,probability,analysis,4,104,1,165,0.02,0.63,25,40
168,90,3,snowflake,analysis,18,104,4,165,0.11,0.63,22,35
169,2,6,algorithms,apache,43,5,1,165,0.26,0.03,2,77
170,6,2,apache,algorithms,5,43,1,165,0.03,0.26,20,77
171,2,9,algorithms,apache spark,43,5,1,165,0.26,0.03,2,77
172,9,2,apache spark,algorithms,5,43,1,165,0.03,0.26,20,77
173,2,12,algorithms,azure,43,24,7,165,0.26,0.15,16,112
174,12,2,azure,algorithms,24,43,7,165,0.15,0.26,29,112
175,2,98,algorithms,tableau,43,47,10,165,0.26,0.28,23,82
176,98,2,tableau,algorithms,47,43,10,165,0.28,0.26,21,82
177,2,44,algorithms,git,43,46,15,165,0.26,0.28,35,125
178,44,2,git,algorithms,46,43,15,165,0.28,0.26,33,125
179,4,11,analytic,aws,119,47,7,165,0.72,0.28,6,21
180,11,4,aws,analytic,47,119,7,165,0.28,0.72,15,21
181,4,23,analytic,collaboration,119,39,4,165,0.72,0.24,3,14
183,4,31,analytic,data pipeline,119,28,3,165,0.72,0.17,3,15
184,31,4,data pipeline,analytic,28,119,3,165,0.17,0.72,11,15
185,4,94,analytic,sql,119,112,15,165,0.72,0.68,13,19
186,94,4,sql,analytic,112,119,15,165,0.68,0.72,13,19
187,1,4,agile,analytic,22,119,21,165,0.13,0.72,95,132
188,4,1,analytic,agile,119,22,21,165,0.72,0.13,18,132
189,1,11,agile,aws,22,47,15,165,0.13,0.28,68,239
190,11,1,aws,agile,47,22,15,165,0.28,0.13,32,239
191,1,21,agile,cloud,22,57,12,165,0.13,0.35,55,158
192,21,1,cloud,agile,57,22,12,165,0.35,0.13,21,158
193,1,24,agile,communication,22,89,15,165,0.13,0.54,68,126
195,1,29,agile,data engineering,22,33,9,165,0.13,0.2,41,205
196,29,1,data engineering,agile,33,22,9,165,0.2,0.13,27,205
197,1,31,agile,data pipeline,22,28,8,165,0.13,0.17,36,214
198,31,1,data pipeline,agile,28,22,8,165,0.17,0.13,29,214
199,1,32,agile,data science,22,76,11,165,0.13,0.46,50,109
200,32,1,data science,agile,76,22,11,165,0.46,0.13,14,109
201,1,37,agile,data warehousing ,22,6,3,165,0.13,0.04,14,375
202,37,1,data warehousing ,agile,6,22,3,165,0.04,0.13,50,375
203,1,38,agile,databricks,22,11,2,165,0.13,0.07,9,136
204,38,1,databricks,agile,11,22,2,165,0.07,0.13,18,136
205,1,41,agile,excel,22,75,12,165,0.13,0.45,55,120
207,1,65,agile,modeling,22,64,8,165,0.13,0.39,36,94
208,65,1,modeling,agile,64,22,8,165,0.39,0.13,12,94
209,1,72,agile,pipeline ,22,11,6,165,0.13,0.07,27,409
210,72,1,pipeline ,agile,11,22,6,165,0.07,0.13,55,409
211,1,79,agile,python,22,118,19,165,0.13,0.72,86,121
212,79,1,python,agile,118,22,19,165,0.72,0.13,16,121
213,1,90,agile,snowflake,22,18,5,165,0.13,0.11,23,208
214,90,1,snowflake,agile,18,22,5,165,0.11,0.13,28,208
215,1,92,agile,spark,22,40,10,165,0.13,0.24,45,188
216,92,1,spark,agile,40,22,10,165,0.24,0.13,25,188
217,1,94,agile,sql,22,112,19,165,0.13,0.68,86,127
218,94,1,sql,agile,112,22,19,165,0.68,0.13,17,127
219,1,23,agile,collaboration,22,39,4,165,0.13,0.24,18,77
221,1,26,agile,curiosity,22,10,5,165,0.13,0.06,23,375
223,1,36,agile,data visualization,22,32,6,165,0.13,0.19,27,141
224,36,1,data visualization,agile,32,22,6,165,0.19,0.13,19,141
225,1,51,agile,java,22,22,5,165,0.13,0.13,23,170
226,51,1,java,agile,22,22,5,165,0.13,0.13,23,170
227,1,85,agile,reporting ,22,40,6,165,0.13,0.24,27,112
228,85,1,reporting ,agile,40,22,6,165,0.24,0.13,15,112
229,1,98,agile,tableau,22,47,9,165,0.13,0.28,41,144
230,98,1,tableau,agile,47,22,9,165,0.28,0.13,19,144
232,14,3,business intelligence,analysis,24,104,8,165,0.15,0.63,33,53
234,44,3,git,analysis,46,104,14,165,0.28,0.63,30,48
235,2,18,algorithms,calculus,43,3,2,165,0.26,0.02,5,256
236,18,2,calculus,algorithms,3,43,2,165,0.02,0.26,67,256
237,2,29,algorithms,data engineering,43,33,7,165,0.26,0.2,16,81
238,29,2,data engineering,algorithms,33,43,7,165,0.2,0.26,21,81
239,2,40,algorithms,discrete mathematics,43,2,2,165,0.26,0.01,5,384
240,40,2,discrete mathematics,algorithms,2,43,2,165,0.01,0.26,100,384
241,2,57,algorithms,linear algebra,43,4,4,165,0.26,0.02,9,384
242,57,2,linear algebra,algorithms,4,43,4,165,0.02,0.26,100,384
243,2,91,algorithms,software engineering,43,11,5,165,0.26,0.07,12,174
244,91,2,software engineering,algorithms,11,43,5,165,0.07,0.26,45,174
245,2,23,algorithms,collaboration,43,39,14,165,0.26,0.24,33,138
247,2,36,algorithms,data visualization,43,32,10,165,0.26,0.19,23,120
248,36,2,data visualization,algorithms,32,43,10,165,0.19,0.26,31,120
249,32,94,data science,sql,76,112,1,165,0.46,0.68,1,2
250,94,32,sql,data science,112,76,1,165,0.68,0.46,1,2
252,98,3,tableau,analysis,47,104,19,165,0.28,0.63,40,64
253,2,77,algorithms,project management,43,13,4,165,0.26,0.08,9,118
256,30,3,data mining,analysis,24,104,5,165,0.15,0.63,21,33
257,2,47,algorithms,graph-based,43,2,1,165,0.26,0.01,2,192
258,47,2,graph-based,algorithms,2,43,1,165,0.01,0.26,50,192
260,74,3,powerbi,analysis,11,104,7,165,0.07,0.63,64,101
261,2,52,algorithms,julia,43,6,4,165,0.26,0.04,9,256
262,52,2,julia,algorithms,6,43,4,165,0.04,0.26,67,256
263,2,80,algorithms,pytorch,43,12,6,165,0.26,0.07,14,192
264,80,2,pytorch,algorithms,12,43,6,165,0.07,0.26,50,192
265,2,100,algorithms,tensorflow,43,22,9,165,0.26,0.13,21,157
266,100,2,tensorflow,algorithms,22,43,9,165,0.13,0.26,41,157
267,6,9,apache,apache spark,5,5,2,165,0.03,0.03,40,1320
268,9,6,apache spark,apache,5,5,2,165,0.03,0.03,40,1320
269,6,11,apache,aws,5,47,2,165,0.03,0.28,40,140
270,11,6,aws,apache,47,5,2,165,0.28,0.03,4,140
271,6,12,apache,azure,5,24,2,165,0.03,0.15,40,275
272,12,6,azure,apache,24,5,2,165,0.15,0.03,8,275
273,6,13,apache,big data,5,36,1,165,0.03,0.22,20,92
274,13,6,big data,apache,36,5,1,165,0.22,0.03,3,92
275,6,21,apache,cloud,5,57,2,165,0.03,0.35,40,116
276,21,6,cloud,apache,57,5,2,165,0.35,0.03,4,116
277,6,24,apache,communication,5,89,1,165,0.03,0.54,20,37
279,6,32,apache,data science,5,76,1,165,0.03,0.46,20,43
280,32,6,data science,apache,76,5,1,165,0.46,0.03,1,43
281,6,38,apache,databricks,5,11,1,165,0.03,0.07,20,300
282,38,6,databricks,apache,11,5,1,165,0.07,0.03,9,300
