Job Require Skill ,Also Require Skill,Probability
discrete mathematics,algorithms,100
linear algebra,algorithms,100
c#,analysis,100
apache beam,agile,100
data catalogs,agile,100
data cleanliness,agile,100
pubsub,agile,100
scio,agile,100
video assets,agile,100
data table design ,analytic,100
cuda,analytic,100
nvidia gpus,analytic,100
artifical intelligence,algorithms,100
agile,analytic,95
agile,python,86
agile,sql,86
image processing,algorithms,80
algorithms,python,77
spark ml,algorithms,75
algorithms,machine learning,72
agile,aws,68
agile,communication,68
agile,analysis,68
data mining,algorithms,67
calculus,algorithms,67
julia,algorithms,67
mapreduce,algorithms,67
flink,agile,67
algorithms,analysis,65
algorithms,analytic,65
powerbi,analysis,64
algorithms,statistics,60
algorithms,data science,60
classification,algorithms,58
algorithms,math,56
agile,cloud,55
agile,excel,55
pipeline ,agile,55
agile,insights,55
keras,algorithms,54
regression,analysis,53
reporting ,analysis,52
algorithms,sql,51
algorithms,communication,51
algorithms,insights,51
agile,data science,50
data warehousing ,agile,50
graph-based,algorithms,50
pytorch,algorithms,50
power apps,agile,50
agile,big data,50
kafka,agile,50
xgboost,analytic,50
probability,algorithms,50
apache airflo,agile,50
graph-based,agile,50
c++ ,analysis,50
xgboost,analysis,50
data security,analytic,50
rest api,analytic,50
sqs,analytic,50
caffe,analytic,50
apache airflo,apache,50
data security,analysis,50
power apps,algorithms,50
rest api,algorithms,50
caffe,algorithms,50
sqs,analysis,50
algorithms,modeling,49
scikit-learn,analysis,45
clustering,algorithms,45
agile,spark,45
software engineering,algorithms,45
agile,machine learning,45
algorithms,predictive,44
predictive,algorithms,44
natural language processing,algorithms,44
data structure,algorithms,44
math,algorithms,43
dax,agile,43
looker,analysis,43
gcp,analytic,43
looker,analytic,43
gcp,analysis,43
google cloud,analysis,43
agile,data engineering,41
agile,tableau,41
tensorflow,algorithms,41
agile,ml,41
tableau,analysis,40
apache,apache spark,40
apache spark,apache,40
apache,aws,40
apache,azure,40
apache,cloud,40
apache,insights,40
apache,kubernetes,40
apache,python,40
apache,spark,40
apache,sql,40
github,analysis,40
structured and unstructured data,agile,40
version control,analytic,40
version control,aws,40
analytic,analysis,39
statistics,algorithms,39
sql,analysis,39
data structure,analysis,39
machine learning,algorithms,38
hadoop,analysis,38
algorithms,excel,37
cloud,analysis,37
math,analysis,37
algorithms,data mining,37
python,analysis,36
ml,analysis,36
databricks,analysis,36
agile,data pipeline,36
agile,modeling,36
java,analysis,36
agile,statistics,36
pandas,algorithms,36
predictive,analysis,35
algorithms,git,35
data science,algorithms,34
statistics,analysis,34
data visualization,analysis,34
modeling,algorithms,33
matlab,analysis,33
modeling,analysis,33
big data,algorithms,33
matlab,algorithms,33
calculus,analysis,33
nosql,analysis,33
git,algorithms,33
business intelligence,analysis,33
algorithms,collaboration,33
natural language processing,analysis,33
numpy,analytic,33
flink,algorithms,33
kafka,analysis,33
mapreduce,c++ ,33
spark,analysis,32
aws,agile,32
agile,azure,32
agile,git,32
data pipeline,analysis,32
machine learning,analysis,31
data visualization,algorithms,31
big data,agile,31
algorithms,cloud,30
data engineering,analysis,30
r,algorithms,30
relational databases,algorithms,30
r,analysis,30
git,analysis,30
relational databases,analytic,30
google cloud,algorithms,29
business intelligence,algorithms,29
azure,algorithms,29
data pipeline,agile,29
kubernetes,apache,29
azure,agile,29
kubernetes,agile,29
kubernetes,analytic,29
dax,algorithms,29
python,algorithms,28
algorithms,big data,28
snowflake,agile,28
pipeline ,analysis,27
pandas,analysis,27
regression,algorithms,27
clustering,analysis,27
data engineering,agile,27
agile,pipeline ,27
agile,data visualization,27
agile,reporting ,27
java,algorithms,27
agile,math,27
powerbi,agile,27
agile,r,27
data science,analysis,26
spark,algorithms,25
probability,analysis,25
spark,agile,25
spark ml,apache,25
probability,agile,25
nosql,agile,25
classification,agile,25
c++ ,analytic,25
c++ ,data science,25
c++ ,hadoop,25
c++ ,java,25
c++ ,mapreduce,25
c++ ,matlab,25
c++ ,ml,25
c++ ,python,25
c++ ,r,25
c++ ,sql,25
analytic,algorithms,24
hadoop,agile,24
cloud,algorithms,23
algorithms,spark,23
algorithms,tableau,23
agile,snowflake,23
agile,curiosity,23
agile,java,23
java,agile,23
algorithms,data visualization,23
tensorflow,analysis,23
agile,hadoop,23
matlab,analytic,22
snowflake,analysis,22
reporting ,analytic,22
r,agile,22
snowflake,analytic,22
tableau,algorithms,21
cloud,agile,21
data engineering,algorithms,21
data mining,analysis,21
algorithms,tensorflow,21
azure,analysis,21
sql,algorithms,20
version control,algorithms,20
structured and unstructured data,algorithms,20
github,analytic,20
apache,algorithms,20
apache spark,algorithms,20
apache,big data,20
apache,communication,20
apache,data science,20
apache,databricks,20
apache,excel,20
apache,google cloud,20
apache,hadoop,20
apache,java,20
apache,kafka,20
apache,machine learning,20
apache,ml,20
apache,spark ml,20
relational databases,analysis,20
ml,agile,20
regression,agile,20
apache,agile,20
apache spark,agile,20
structured and unstructured data,data science,20
apache,apache airflo,20
apache,collaboration,20
apache,data pipeline,20
apache,gcp,20
apache,git,20
apache,nosql,20
apache,software engineering,20
structured and unstructured data,analytic,20
github,agile,20
image processing,analysis,20
github,aws,20
apache,analysis,20
apache spark,analysis,20
algorithms,aws,19
algorithms,leadership,19
aws,analysis,19
algorithms,r,19
algorithms,data structure,19
big data,analysis,19
data visualization,agile,19
tableau,agile,19
modeling,analytic,19
hadoop,algorithms,19
analytic,agile,18
databricks,agile,18
agile,collaboration,18
agile,manufacturing,18
databricks,algorithms,18
agile,algorithms,18
clustering,agile,18
agile,predictive,18
databricks,analytic,18
pandas,analytic,18
scikit-learn,analytic,18
scikit-learn,agile,18
aws,algorithms,17
julia,analytic,17
sql,agile,17
kafka,apache,17
numpy,analysis,17
business intelligence,analytic,17
data warehousing ,aws,17
pytorch,agile,17
julia,agile,17
nosql,algorithms,17
data warehousing ,analytic,17
nosql,analytic,17
numpy,algorithms,17
data warehousing ,algorithms,17
numpy,aws,17
classification,analysis,17
numpy,agile,17
algorithms,ml,16
ml,algorithms,16
python,agile,16
algorithms,business intelligence,16
algorithms,classification,16
algorithms,azure,16
algorithms,data engineering,16
algorithms,keras,16
ml,analytic,16
r,analytic,15
aws,analytic,15
reporting ,agile,15
git,agile,15
tableau,analytic,15
keras,analytic,15
keras,agile,15
big data,analytic,14
data science,agile,14
agile,data warehousing ,14
algorithms,pytorch,14
google cloud,apache,14
algorithms,manufacturing,14
agile,business intelligence,14
agile,dax,14
data pipeline,algorithms,14
algorithms,java,14
dax,analysis,14
agile,powerbi,14
agile,leadership,14
agile,nosql,14
agile,kafka,14
dax,azure,14
looker,agile,14
agile,project management,14
agile,tensorflow,14
tensorflow,agile,14
agile,classification,14
agile,regression,14
google cloud,agile,14
tensorflow,analytic,14
kubernetes,analysis,14
